ticker,symbol,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume,gap,roll
WIN,WIN$N,M5,2023-02-17 09:15:00,1676625300,111155.0,111185.0,111030.0,111085.0,39317,5,112210,,False
WIN,WIN$N,M5,2023-02-17 09:20:00,1676625600,111080.0,111290.0,111070.0,111200.0,48815,5,143903,-5.0,False
WIN,WIN$N,M5,2023-02-17 09:25:00,1676625900,111200.0,111320.0,111125.0,111285.0,47363,5,147812,0.0,False
WIN,WIN$N,M5,2023-02-17 09:30:00,1676626200,111280.0,111295.0,111160.0,111180.0,41419,5,121709,-5.0,False
WIN,WIN$N,M5,2023-02-17 09:35:00,1676626500,111185.0,111215.0,111120.0,111125.0,30328,5,87857,5.0,False
WIN,WIN$N,M5,2023-02-17 09:40:00,1676626800,111125.0,111290.0,111120.0,111215.0,38360,5,112702,0.0,False
WIN,WIN$N,M5,2023-02-17 09:45:00,1676627100,111210.0,111270.0,111135.0,111155.0,32850,5,93954,-5.0,False
WIN,WIN$N,M5,2023-02-17 09:50:00,1676627400,111160.0,111190.0,111085.0,111115.0,31544,5,90008,5.0,False
WIN,WIN$N,M5,2023-02-17 09:55:00,1676627700,111120.0,111240.0,111100.0,111220.0,28823,5,89840,5.0,False
WIN,WIN$N,M5,2023-02-17 10:00:00,1676628000,111220.0,111370.0,111115.0,111185.0,80762,5,242432,0.0,False
WIN,WIN$N,M5,2023-02-17 10:05:00,1676628300,111185.0,111215.0,110945.0,111045.0,93337,5,272576,0.0,False
WIN,WIN$N,M5,2023-02-17 10:10:00,1676628600,111045.0,111110.0,110860.0,110945.0,99523,5,280498,0.0,False
WIN,WIN$N,M5,2023-02-17 10:15:00,1676628900,110940.0,111110.0,110875.0,110920.0,76118,5,207105,-5.0,False
WIN,WIN$N,M5,2023-02-17 10:20:00,1676629200,110915.0,110975.0,110690.0,110760.0,82549,5,235872,-5.0,False
WIN,WIN$N,M5,2023-02-17 10:25:00,1676629500,110765.0,110900.0,110695.0,110885.0,62809,5,170925,5.0,False
WIN,WIN$N,M5,2023-02-17 10:30:00,1676629800,110880.0,110950.0,110780.0,110930.0,54915,5,159145,-5.0,False
WIN,WIN$N,M5,2023-02-17 10:35:00,1676630100,110930.0,111110.0,110900.0,111105.0,53077,5,156652,0.0,False
WIN,WIN$N,M5,2023-02-17 10:40:00,1676630400,111105.0,111230.0,111000.0,111140.0,79982,5,238520,0.0,False
WIN,WIN$N,M5,2023-02-17 10:45:00,1676630700,111140.0,111200.0,111040.0,111170.0,57937,5,166926,0.0,False
WIN,WIN$N,M5,2023-02-17 10:50:00,1676631000,111170.0,111190.0,111090.0,111165.0,36273,5,103266,0.0,False
WIN,WIN$N,M5,2023-02-17 10:55:00,1676631300,111165.0,111370.0,111115.0,111285.0,79961,5,243715,0.0,False
WIN,WIN$N,M5,2023-02-17 11:00:00,1676631600,111285.0,111410.0,111175.0,111185.0,72801,5,219658,0.0,False
WIN,WIN$N,M5,2023-02-17 11:05:00,1676631900,111185.0,111225.0,111040.0,111085.0,61801,5,188159,0.0,False
WIN,WIN$N,M5,2023-02-17 11:10:00,1676632200,111085.0,111250.0,111075.0,111080.0,55108,5,172849,0.0,False
WIN,WIN$N,M5,2023-02-17 11:15:00,1676632500,111080.0,111315.0,111070.0,111285.0,51712,5,155562,0.0,False
WIN,WIN$N,M5,2023-02-17 11:20:00,1676632800,111285.0,111340.0,111060.0,111085.0,59493,5,185635,0.0,False
WIN,WIN$N,M5,2023-02-17 11:25:00,1676633100,111080.0,111095.0,110900.0,110955.0,62197,5,195083,-5.0,False
WIN,WIN$N,M5,2023-02-17 11:30:00,1676633400,110955.0,111115.0,110870.0,111050.0,89451,5,274918,0.0,False
WIN,WIN$N,M5,2023-02-17 11:35:00,1676633700,111050.0,111105.0,110935.0,111025.0,52286,5,152501,0.0,False
WIN,WIN$N,M5,2023-02-17 11:40:00,1676634000,111020.0,111440.0,110955.0,111160.0,107344,5,345079,-5.0,False
WIN,WIN$N,M5,2023-02-17 11:45:00,1676634300,111155.0,111170.0,110865.0,110965.0,82772,5,259709,-5.0,False
WIN,WIN$N,M5,2023-02-17 11:50:00,1676634600,110965.0,111025.0,110675.0,110740.0,68065,5,240465,0.0,False
